timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1764996310224,11,update owner,204,,Rate limiting 1-1,text,true,,421,622,1,1,http://localhost:9966/petclinic/api/owners/1,0,0,0
1764996310235,5,add owner,201,,Rate limiting 1-1,text,true,,608,621,1,1,http://localhost:9966/petclinic/api/owners,5,0,0
1764996310240,8,get owner by id,200,,Rate limiting 1-1,text,true,,692,472,1,1,http://localhost:9966/petclinic/api/owners/1,8,0,0
1764996310248,167,get owner list,200,,Rate limiting 1-1,text,true,,69124,470,1,1,http://localhost:9966/petclinic/api/owners,166,0,0
1764996310415,7,update owner,204,,Rate limiting 1-1,text,true,,421,622,1,1,http://localhost:9966/petclinic/api/owners/1,0,0,0
1764996310422,6,add owner,201,,Rate limiting 1-1,text,true,,608,621,1,1,http://localhost:9966/petclinic/api/owners,6,0,0
1764996310428,7,get owner by id,200,,Rate limiting 1-1,text,true,,692,472,1,1,http://localhost:9966/petclinic/api/owners/1,6,0,0
1764996310435,172,get owner list,200,,Rate limiting 1-1,text,true,,69368,470,1,1,http://localhost:9966/petclinic/api/owners,171,0,0
1764996310607,8,update owner,204,,Rate limiting 1-1,text,true,,421,622,1,1,http://localhost:9966/petclinic/api/owners/1,0,0,0
1764996310615,6,add owner,201,,Rate limiting 1-1,text,true,,608,621,1,1,http://localhost:9966/petclinic/api/owners,5,0,0
1764996310621,7,get owner by id,200,,Rate limiting 1-1,text,true,,692,472,1,1,http://localhost:9966/petclinic/api/owners/1,7,0,0
1764996310628,174,get owner list,200,,Rate limiting 1-1,text,true,,69612,470,1,1,http://localhost:9966/petclinic/api/owners,173,0,0
1764996310803,7,update owner,204,,Rate limiting 1-1,text,true,,421,622,1,1,http://localhost:9966/petclinic/api/owners/1,0,0,0
1764996310810,6,add owner,201,,Rate limiting 1-1,text,true,,608,621,1,1,http://localhost:9966/petclinic/api/owners,6,0,0
1764996310816,8,get owner by id,200,,Rate limiting 1-1,text,true,,692,472,1,1,http://localhost:9966/petclinic/api/owners/1,7,0,0
1764996310824,174,get owner list,200,,Rate limiting 1-1,text,true,,69856,470,1,1,http://localhost:9966/petclinic/api/owners,173,0,0
1764996310998,8,update owner,204,,Rate limiting 1-1,text,true,,421,622,1,1,http://localhost:9966/petclinic/api/owners/1,0,0,0
1764996311006,5,add owner,201,,Rate limiting 1-1,text,true,,608,621,1,1,http://localhost:9966/petclinic/api/owners,5,0,0
1764996311012,7,get owner by id,200,,Rate limiting 1-1,text,true,,692,472,1,1,http://localhost:9966/petclinic/api/owners/1,7,0,0
1764996311019,173,get owner list,200,,Rate limiting 1-1,text,true,,70100,470,1,1,http://localhost:9966/petclinic/api/owners,172,0,0
1764996311192,7,update owner,204,,Rate limiting 1-1,text,true,,421,622,1,1,http://localhost:9966/petclinic/api/owners/1,0,0,0
1764996311199,6,add owner,201,,Rate limiting 1-1,text,true,,608,621,1,1,http://localhost:9966/petclinic/api/owners,5,0,0
1764996311205,7,get owner by id,200,,Rate limiting 1-1,text,true,,692,472,1,1,http://localhost:9966/petclinic/api/owners/1,7,0,0
1764996311212,168,get owner list,200,,Rate limiting 1-1,text,true,,70345,470,1,1,http://localhost:9966/petclinic/api/owners,167,0,0
1764996311380,7,update owner,204,,Rate limiting 1-1,text,true,,421,622,1,1,http://localhost:9966/petclinic/api/owners/1,0,0,0
1764996311387,5,add owner,201,,Rate limiting 1-1,text,true,,608,621,1,1,http://localhost:9966/petclinic/api/owners,5,0,0
1764996311392,8,get owner by id,200,,Rate limiting 1-1,text,true,,692,472,1,1,http://localhost:9966/petclinic/api/owners/1,8,0,0
1764996311400,171,get owner list,200,,Rate limiting 1-1,text,true,,70589,470,1,1,http://localhost:9966/petclinic/api/owners,170,0,0
1764996311571,8,update owner,204,,Rate limiting 1-1,text,true,,421,622,1,1,http://localhost:9966/petclinic/api/owners/1,0,0,0
1764996311579,5,add owner,201,,Rate limiting 1-1,text,true,,608,621,1,1,http://localhost:9966/petclinic/api/owners,5,0,0
1764996311584,7,get owner by id,200,,Rate limiting 1-1,text,true,,692,472,1,1,http://localhost:9966/petclinic/api/owners/1,7,0,0
1764996311591,178,get owner list,200,,Rate limiting 1-1,text,true,,70833,470,1,1,http://localhost:9966/petclinic/api/owners,177,0,0
1764996311769,9,update owner,204,,Rate limiting 1-1,text,true,,421,622,1,1,http://localhost:9966/petclinic/api/owners/1,0,0,0
1764996311778,5,add owner,201,,Rate limiting 1-1,text,true,,608,621,1,1,http://localhost:9966/petclinic/api/owners,5,0,0
1764996311783,8,get owner by id,200,,Rate limiting 1-1,text,true,,692,472,1,1,http://localhost:9966/petclinic/api/owners/1,8,0,0
